p cnf 20 60
v 7 28 19 11 10 26 27 1 22 2 13 4 1 30 11 26 24 7 4 13
-13 -17 4 0
2 -14 -10 0
7 2 6 0
-13 -12 19 0
5 -20 3 0
-9 6 -17 0
-10 -19 3 0
13 -18 17 0
-15 12 5 0
-6 -9 -12 0
11 15 4 0
15 -9 -18 0
-10 -4 15 0
12 -11 -9 0
18 2 7 0
1 -8 12 0
-19 17 15 0
9 -6 18 0
-2 -9 8 0
9 7 16 0
-7 18 -5 0
7 -15 -5 0
17 -1 6 0
-2 -16 10 0
1 4 -12 0
-19 -10 1 0
-13 -20 7 0
-3 -5 9 0
3 -5 -19 0
-14 3 13 0
18 -15 5 0
-5 14 16 0
1 16 8 0
-12 1 -13 0
19 17 -6 0
-20 7 -12 0
1 11 7 0
16 14 10 0
-15 18 2 0
15 20 -13 0
-10 -5 -12 0
-19 5 2 0
-10 4 11 0
5 -7 2 0
13 -1 7 0
-20 -10 -11 0
-4 -18 14 0
11 -6 -14 0
-10 -12 -6 0
-7 11 8 0
-19 13 -16 0
-14 20 -15 0
-19 -11 2 0
-8 -1 18 0
-1 4 18 0
-20 7 -6 0
13 12 -19 0
-6 -8 2 0
15 6 12 0
-1 7 -4 0

